,Year,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),index,Day,Month,Merikannontie
0,2017,-1.0,-1.0,0.6,0,1,1,285.0
1,2017,4.4,-1.0,-3.9,12,2,1,589.0
2,2017,6.6,7.0,-6.5,24,3,1,462.0
3,2017,-1.0,13.0,-12.8,36,4,1,309.0
4,2017,-1.0,10.0,-17.8,48,5,1,223.0
5,2017,0.3,10.0,-17.8,60,6,1,79.0
6,2017,5.3,10.0,-3.8,72,7,1,80.0
7,2017,-1.0,12.0,-0.5,84,8,1,259.0
8,2017,1.1,12.0,0.5,96,9,1,615.0
9,2017,0.3,9.0,1.7,108,10,1,694.0
10,2017,-1.0,7.0,-1.6,120,11,1,563.0
11,2017,8.0,7.0,-2.8,132,12,1,516.0
12,2017,0.1,13.0,1.1,144,13,1,450.0
13,2017,0.1,8.0,0.8,156,14,1,254.0
14,2017,-1.0,8.0,-2.8,168,15,1,211.0
15,2017,-1.0,8.0,-4.2,180,16,1,673.0
16,2017,0.2,8.0,-3.5,192,17,1,744.0
17,2017,0.9,8.0,1.1,204,18,1,672.0
18,2017,-1.0,5.0,1.6,216,19,1,648.0
19,2017,0.3,5.0,-0.6,228,20,1,569.0
20,2017,0.4,5.0,-1.8,240,21,1,235.0
21,2017,0.2,5.0,1.0,252,22,1,247.0
22,2017,0.1,6.0,0.1,264,23,1,698.0
23,2017,-1.0,6.0,-2.2,276,24,1,730.0
24,2017,0.6,6.0,-3.8,288,25,1,667.0
25,2017,-1.0,6.0,1.9,300,26,1,706.0
26,2017,-1.0,4.0,1.6,312,27,1,685.0
27,2017,1.8,4.0,0.8,324,28,1,193.0
28,2017,2.6,3.0,0.6,336,29,1,183.0
29,2017,5.6,5.0,1.0,347,30,1,584.0
30,2017,-1.0,4.0,0.2,358,31,1,725.0
31,2017,1.5,4.0,-0.6,1,1,2,694.0
32,2017,0.2,5.0,-0.8,13,2,2,703.0
33,2017,-1.0,6.0,-0.2,25,3,2,574.0
34,2017,2.7,6.0,0.4,37,4,2,210.0
35,2017,-1.0,7.0,-2.5,49,5,2,213.0
36,2017,-1.0,7.0,-7.3,61,6,2,627.0
37,2017,-1.0,8.0,-12.1,73,7,2,542.0
38,2017,-1.0,8.0,-8.8,85,8,2,545.0
39,2017,-1.0,8.0,-10.1,97,9,2,495.0
40,2017,-1.0,8.0,-8.3,109,10,2,532.0
41,2017,-1.0,8.0,-5.4,121,11,2,179.0
42,2017,-1.0,8.0,-2.7,133,12,2,185.0
43,2017,-1.0,8.0,1.5,145,13,2,686.0
44,2017,-1.0,8.0,4.4,157,14,2,854.0
45,2017,-1.0,8.0,0.0,169,15,2,730.0
46,2017,0.9,8.0,0.5,181,16,2,728.0
47,2017,0.2,8.0,1.5,193,17,2,585.0
48,2017,1.5,5.0,1.9,205,18,2,355.0
49,2017,1.1,5.0,2.2,217,19,2,272.0
50,2017,2.8,3.0,0.4,229,20,2,612.0
51,2017,-1.0,7.0,-2.5,241,21,2,623.0
52,2017,12.2,6.0,-4.6,253,22,2,485.0
53,2017,0.3,15.0,-0.7,265,23,2,364.0
54,2017,-1.0,13.0,-5.3,277,24,2,399.0
55,2017,0.4,13.0,-5.6,289,25,2,206.0
